iID,iName,cID
34304771,CITITRUST (BAHAMAS) LIMITED,BHS
80000189,Appleby Management (Bermuda) Ltd.,BMU
80000191,Appleby Services (Bermuda) Ltd.,BMU
80000392,Appleby Corporate Services (BVI) Limited,VGB
80007709,Appleby Corporate Services (HK) Limited,HKG
80008235,"Northern Trust Global Fund Services Bermuda, Ltd.",BMU
80010095,Appleby Trust (Isle of Man) Limited,IMN
80010696,Appleby Trust (Guernsey) Limited,GGY
80011301,Appleby Trust (Cayman) Ltd.,CYM
80011866,Appleby Corporate Services (Cayman) Limited,CYM
80012109,Appleby Services (Cayman) Limited,CYM
80016267,Appleby Trust (Jersey) Limited,JEY
80016644,INTERTRUST TRUSTEES II (CAYMAN) LIMITED,CYM
80019422,Appleby (Zurich) LLC,IMN
80020489,Appleby (London) LLC,IMN
80021976,Appleby Fund Services (Isle of Man) Limited,IMN
80021977,Caledonian (IOM) Limited,IMN
80026651,Tricor Abacus Limited,HKG
80026652,Abacus Trust Company Limited - Isle of Man,IMN
80027380,Advanced Share Registry Services Limited,AUS
80029513,American Stock Transfer and Trust Company,USA
80030418,Appleby Corporate Services (Seychelles) Limited - Seychelles,SYC
80031549,NEWHAVEN TRUSTEES (BVI) LIMITED,VGB
80031552,ATC TRUSTEES (BAHAMAS) LIMITED,BHS
80031565,INTERTRUST TRUSTEES II (CAYMAN) LIMITED,CYM
80032205,B.A.C.S. Private Limited,SGP
80033078,Bank of Bermuda (Cayman) Limited,CYM
80033106,"Bank of New York Mellon, London Branch",GBR
80033272,Tricor Barbinder Share Registration Services,SGP
80036532,Blenheim Corporate Services Limited,VGB
80037526,Apex Fund Services Ltd.,BMU
80037797,Prime Management Limited,BMU
80037818,Union Registrars Limited,HKG
80038349,Computershare Investor Services Ltd,NZL
80038978,Morgan Stanley Fund Services (Bermuda) Ltd.,IRL
80039148,HWR Services Limited,VGB
80039370,International Fund Services (Ireland) Limited,IRL
80039478,MUFG Fund Services (Bermuda) Limited,BMU
80039842,Boardroom Corporate & Advisory Services Pte. Ltd.,SGP
80043197,Butterfield Management Services (Guernsey) Limited,GGY
80043198,Butterfield Trust (Guernsey) Limited,GGY
80043308,BNY Mellon Investment Servicing (International) Limited,IRL
80043713,Cains Fiduciaries Limited,IMN
80044445,Capita Registrars (Jersey) Limited,GBR
80044497,Capita Registrars,IMN
80045804,Computershare Hong Kong Investor Services Limited,HKG
80047070,Charlemagne Capital (IOM) Limited,IMN
80047141,Charterhouse Corporate Services Limited,IMN
80049953,Citco Fund Services (Bermuda) Ltd,BMU
80050056,"Citi Hedge Fund Services, Ltd.",BMU
80050816,CM Management (IOM) Limited,IMN
80051579,Intertrust Singapore Corporate Services Pte. Ltd.,SGP
80051643,Computershare Investor Services LLC,USA
80051646,Computershare,USA
80051647,Computershare - Providence,USA
80051650,Computershare Investor Sevices (Jersey) Limited,JEY
80051652,Computershare Investor Services PLC,GBR
80051655,Computershare,USA
80051656,Computershare Trust Company N. A.,USA
80051948,Continental Stock Transfer and Trust Company,USA
80054410,Daiwa Securities SMBC Singapore Limited,SGP
80058657,Duncan Lawrie Offshore Services Limited,IMN
80058675,Dundee Leeds Management Services Ltd.,BMU
80060924,Kinney - James N,USA
80063076,Equity Transfer & Trust Company,CAN
80065089,Fidelity Corporate Services (Seychelles) Ltd,SYC
80067409,Frontiere Finance Ltd,MUS
80067873,Futures Clearing Broker,USA
80069418,Butterfield Fulcrum Group (Guernsey) Limited,GGY
80072109,Greystone Trust Company,IMN
80078929,HSBC Bank Bermuda Limited,BMU
80080817,CAPITA REGISTRARS LIMITED,GBR
80081212,Inter-Continental Management Limited,IMN
80081357,Intrust (Manx) Limited,IMN
80081462,IOMA Financial Trust Limited,IMN
80081563,CAPITA REGISTRARS (JERSEY) LIMITED,JEY
80084329,JTC (Guernsey) Limited,GGY
80091972,Legis Group Limited,GGY
80093974,Lindsay - Alan Peter,CYM
80095237,Lo - Man Un,HKG
80096599,M&C Services Private Limited,SGP
80097425,Maitland Services Limited,IMN
80098107,Maples Corporate Services Limited,CYM
80100698,M & C Services Private Limited,SGP
80103943,MORNING STAR HOLDINGS LIMITED,KNA
80104214,Mossack Fonseca & Co,PAN
80106116,Nerine Trust Company (BVI) Limited,VGB
80106236,Neville Registrars,GBR
80108311,Ogier Fiduciary Services (Guernsey) Limited,GGY
80114464,Tricor Progressive Limited,HKG
80115153,"Quicksilver Stock Transfer, LLC",USA
80122682,Tricor Secretaries Limited,HKG
80126170,SMP Partners Limited,IMN
80127490,Standard Bank Trust Company (Isle of Man) Limited,IMN
80127519,Tricor Standard Limited,HKG
80128883,Stuarts Corporate Services Ltd.,CYM
80131544,Tricor Tengis Limited,HKG
80134417,Citco (Cayman) International Trust Co.Ltd.,CYM
80136038,Ansbacher (Cayman) Limited (in voluntary liquidation),CYM
80136864,"Transcontinental Fund Administration, Ltd.",CYM
80137139,Trident Trust Company (Cayman) Ltd.,CYM
80137252,Tromino Financial Services Ltd.,BMU
80138969,VA Global Business Ltd,MUS
80143359,Westwinds Offshore Services Limited,IMN
80144613,Winchester Fiduciary Services Limited,BMU
80146621,Xu - Joy,CHN
80146841,Yan - Chun Feng,CHN
80148939,Zheng - Paul,CHN
32000000,HELVETIC MANAGEMENT SERVICES LTD.,BHS
32000001,AMICORP BAHAMAS MANAGEMENT LIMITED,BHS
32000002,CBH (BAHAMAS) LTD.,BHS
32000003,A.J.K. Corporate Services (Bahamas) Ltd.,BHS
32000004,"CREDIT SUISSE, NASSAU BRANCH-WEALTH MGT.",BHS
32000005,SECURED MANAGEMENT SERVICES LTD.,BHS
32000006,GENESIS FUND SERVICES LIMITED,BHS
32000007,ARGUS ADVISORS (FREEPORT),BHS
32000008,STERLING (BAHAMAS) LIMITED,BHS
32000009,"CREDIT SUISSE AG, NASSAU BRANCH LATAM",BHS
32000010,CAYSTONE SOLUTIONS LTD.,BHS
32000011,JAN WINTER BORGHARDT,BHS
32000012,MONIQUE GOMEZ,BHS
32000013,RHONE TRUSTEES (BAHAMAS) LTD.,BHS
32000014,Intertrust (Bahamas) Limited,BHS
32000015,OVERSEAS MANAGEMENT COMPANY (BAHAMAS),BHS
32000016,SIR LEONARD KNOWLES,BHS
32000017,ELLIOT B. LOCKHART,BHS
32000018,CHANCELLORS CORPORATE SERVICES LTD.,BHS
32000019,COOPER & CO.,BHS
32000020,JOHNSON HASSAN & CO,BHS
32000021,H & K CORPORATE SERVICE PROVIDERS LTD,BHS
32000022,FRED GOTTLIEB & CO. (ABACO),BHS
32000023,BROUGHTON CARTWRIGHT,BHS
32000024,"ALEMAN, CORDERO, GALINDO & LEE (BAHAMAS)",BHS
32000025,WILLIE MOSS (FREEPORT),BHS
32000026,INTERCREDIT BANK & TRUST LIMITED,BHS
32000027,BOYE'S CHAMBERS-LLEWLYN BOYER CARTWRIGHT,BHS
32000028,EDWARD B. TURNER,BHS
32000029,L. C. HULL & CO.,BHS
32000030,LMT BANK,BHS
32000031,CHERYL E. BAZARD LAW CHAMBERS,BHS
32000032,"ALFARO, FERRER, & RAMIREZ (BAHAMAS) LTD.",BHS
32000033,MORTIMER & CO.,BHS
32000034,OCEANIC BANK & TRUST LIMITED,BHS
32000035,SONIA A. TIMOTHY-SERRETTE,BHS
32000036,LINCOLN BETHEL & CO.,BHS
32000037,SAMUEL CAMPBELL & COMPANY,BHS
32000038,WESTERN MANAGEMENT SERVICES LIMITED,BHS
32000039,BLUEWOOD MANAGEMENT LTD.,BHS
32000040,GILINGAM BANK formerly GUTA BANK & TRUST,BHS
32000041,HONGKONG & SHANGHAI BANKING CORP. (HSBC),BHS
32000042,CONSTANCE MCDONALD,BHS
32000043,BAHAMAS PERSONAL MANAGEMENT SERVICES LTD,BHS
32000044,Meridian Law Chambers,BHS
32000045,Tara D. Dorsett (Freeport),BHS
32000046,BAHAMAS FIRST HOLDINGS LIMITED,BHS
32000047,W & P FUND SERVICES LIMITED,BHS
32000048,BANAKOR SWISSE S.A.,BHS
32000049,BANK OF NOVA SCOTIA TRUST CO. (BAHS) LTD,BHS
32000050,SEYMOUR & CO.,BHS
32000051,E. DAWSON ROBERTS & COMPANY (Freeport),BHS
32000052,KNOWLES & THRONEBURY,BHS
32000053,PRICEWATERHOUSECOOPERS (BAHAMAS) FREEPOR,BHS
32000054,E.P. TOOTHE & ASSOCIATES,BHS
32000055,GRAND BAHAMA DEVELOPMENT COMPANY LIMITED,BHS
32000056,KING & CO.,BHS
32000057,"HALL, JOHNSON & COMPANY",BHS
32000058,"ARIAS, ALEMAN & MORA",BHS
32000059,"AYSE, RENGIN, DENGIZER, JOHNSON & CO.",BHS
32000060,BRIDGEWATER & CO (FREEPORT),BHS
32000061,MCDONALD & CO. (FREEPORT),BHS
32000062,Summit Corporate Services Ltd.,BHS
32000063,BRENT SYMONETTE,BHS
32000064,KPMG,BHS
32000065,WESTPAC BANK & TRUST,BHS
32000066,ROYAL BANK OF CANADA TRUST COMPANY (BHS),BHS
32000067,SHARON WILSON & CO.,BHS
32000068,ROYAL FIDELITY MERCHANTS BANK & TRUST LT,BHS
32000069,MOSSACK FONSECA & CO. (BAHAMAS) LIMITED,BHS
32000070,RHONDA P. BAIN,BHS
32000071,CATES & CO. (FREEPORT),BHS
32000072,OFFSHORE MANAGERS LIMITED,BHS
32000073,LOUIS HORST OSTERLOCH,BHS
32000074,RALPH D. SELIGMAN CHAMBERS,BHS
32000075,L. OBAFEMI PINDLING,BHS
32000076,UNWALA & CO,BHS
32000077,IPG Family Office Limited,BHS
32000078,ALPIN RUSSELL & CO.,BHS
32000079,WATKINS FOULKES & CO.,BHS
32000080,FINANCIAL MANAGEMENT CORP. LTD,BHS
32000081,EQUITY BANK AND TRUST BAHAMAS LIMITED,BHS
32000082,MAURICE O. GLINTON & CO. (FREEPORT),BHS
32000083,LATIN AMERICAN INVESTMENT BANK (BAHAMAS),BHS
32000084,ECOSSE CORPORATE SERVICES LIMITED,BHS
32000085,DENNISON & CO.,BHS
32000086,TYNES & TYNES (FREEPORT),BHS
32000087,LIONEL LEVINE,BHS
32000088,VINCENT PEET & COMPANY,BHS
32000089,WINTERBOTHAM TRUST COMPANY LIMITED,BHS
32000090,FT CONSULTANTS LTD.,BHS
32000091,MMG BAHAMAS LTD.,BHS
32000092,CREDIT SUISSE TRUST LIMITED,BHS
32000093,JEANNE I. THOMPSON,BHS
32000094,GSO CORPORATE SERVICES LTD.,BHS
32000095,SWISS BAHAMAS MGMT. SERVICES LTD,BHS
32000096,GUARANTY TRUST BANK LIMITED,BHS
32000097,MANN JUDD CORPORATE SERVICES LIMITED,BHS
32000098,DESMOND EDWARDS & CO.,BHS
32000099,Karam & Missick (Bahamas) Corp. Ser. Ltd,BHS
32000100,"MCKINNEY, BANCROFT & HUGHES (FREEPORT)",BHS
32000101,HOLOWESKO PYFROM FLETCHER,BHS
32000102,LOCKHART & CO.,BHS
32000103,DARREL ROLLE AND CO.,BHS
32000104,ROYAL BANK OF SCOTLAND (NASSAU) LTD,BHS
32000105,EDWARD ST. GEORGE,BHS
32000106,K.D.A. WILLIAMS & CO.,BHS
32000107,ALAN E. H. BATES,BHS
32000108,ATCO CORPORATE SERCIVES LTD.,BHS
32000109,JOAN FERGUSON & CO.,BHS
32000110,L & L CORPORATE & LEGAL SERVICES LTD.,BHS
32000111,Delaney Corp. (Bahamas) Ltd.,BHS
32000112,STEPHEN WILCHCOMBE (FREEPORT),BHS
32000113,"KNOWLES, COLLIE & CO.",BHS
32000114,EQUATOR BANK LTD,BHS
32000115,"SMITH, SMITH & COMPANY",BHS
32000116,MARRON CORPORATE SERVICES LIMITED,BHS
32000117,VINCENT WALLACE WHITFIELD,BHS
32000118,FREEPORT CORPORATE CONSULTANTS LTD.,BHS
32000119,MICHAEL A. DEAN,BHS
32000120,THE GRAND BAHAMA PORT AUTHORITY LIMITED,BHS
32000121,WELLS-CARMONA GOTTLIEB & CO,BHS
32000122,K. NEVILLE ADDERLEY,BHS
32000124,EURO-DUTCH TRUST (PROVIDENCE TRUST),BHS
